member,period_end,from_topic,to_topic,distance
Chile,2018,Environmental Protection General,Biological Prospecting,0.64
China,2018,Environmental Protection General,Operational issues,0.56
Ecuador,2018,Science issues,Educational issues,0.3846153846153846
France,2018,Exchange of Information,Biological Prospecting,0.5909090909090908
France,2018,Historic Sites and Monuments,Management Plans,0.4375
France,2018,Tourism and NG_Activities,Marine Protected Areas,0.5454545454545454
France,2018,Inspections,Nonnative Species and Quarantine,0.5789473684210527
Italy,2018,Educational issues,Climate Change,0.6923076923076923
Japan,2018,Environmental Protection General,Tourism and NG_Activities,0.72
Korea (ROK),2018,Inspections,Multiyear strategic workplan,0.6842105263157895
Korea (ROK),2018,Nonnative Species and Quarantine,Sub glacial Lakes,0.8666666666666667
Netherlands,2018,Biological Prospecting,Climate Change,0.625
Netherlands,2018,Inspections,Management Plans,0.5789473684210527
New Zealand,2018,Area Protection and Management Plans General,Fauna and Flora_General,0.5625
New Zealand,2018,Human Footprint and wilderness values,Marine Protected Areas,0.4545454545454546
New Zealand,2018,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Norway,2018,CEP Strategy Discussions,Biological Prospecting,0.5714285714285714
Norway,2018,Area Protection and Management Plans General,Fauna and Flora_General,0.5625
Poland,2018,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Romania,2018,Educational issues,Biological Prospecting,0.6923076923076923
Romania,2018,Educational issues,Operational issues,0.6153846153846154
Russian Federation,2018,Area Protection and Management Plans General,Management Plans,0.4375
Russian Federation,2018,Exchange of Information,Operational issues,0.4545454545454546
Russian Federation,2018,Marine Protected Areas,Tourism and NG_Activities,0.5454545454545454
South Africa,2018,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
Sweden,2018,Inspections,Site Guidelines for Visitors,0.6842105263157895
Türkiye,2018,Science issues,Institutional and legal matters,0.7083333333333333
Ukraine,2018,Science issues,Institutional and legal matters,0.7083333333333333
Ukraine,2018,Site Guidelines for Visitors,Multiyear strategic workplan,0.7777777777777778
United States,2018,Management Plans,Comprehensive Environmental Evaluations,0.5625
United States,2018,Environmental Impact Assessment EIA Other EIA Matters,Exchange of Information,0.5454545454545454
United States,2018,Environmental Impact Assessment EIA Other EIA Matters,Operation of the Antarctic Treaty system General,0.5769230769230769
Uruguay,2018,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
ASOC,2019,Area Protection and Management Plans General,Specially Protected Species,0.5384615384615384
Argentina,2019,Inspections,Operation of the Antarctic Treaty system General,0.5
Australia,2019,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Australia,2019,Area Protection and Management Plans General,Specially Protected Species,0.5384615384615384
Belarus,2019,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Belgium,2019,Marine Protected Areas,Area Protection and Management Plans General,0.6153846153846154
Belgium,2019,Comprehensive Environmental Evaluations,Historic Sites and Monuments,0.6
Bulgaria,2019,Educational issues,Science issues,0.3846153846153846
CCAMLR,2019,Operation of the Antarctic Treaty system Reports,Marine living resources,0.8
COMNAP,2019,Fauna and Flora_General,Nonnative Species and Quarantine,0.4375
China,2019,Area Protection and Management Plans General,Nonnative Species and Quarantine,0.4666666666666667
Colombia,2019,Safety and Operations in Antarctica,Operation of the Antarctic Treaty system The Secretariat,0.7058823529411764
Czechia,2019,Inspections,Area Protection and Management Plans General,0.5789473684210527
Ecuador,2019,Repair and remediation of environmental damage,Management Plans,0.375
Finland,2019,Tourism and NG_Activities,Specially Protected Species,0.6
France,2019,Tourism and NG_Activities,Specially Protected Species,0.6
Germany,2019,Environmental Impact Assessment EIA Other EIA Matters,Educational issues,0.5769230769230769
Germany,2019,Tourism and NG_Activities,Specially Protected Species,0.6
IAATO,2019,Tourism and NG_Activities,CEP Strategy Discussions,0.6666666666666667
IAATO,2019,Environmental Impact Assessment EIA Other EIA Matters,Environmental Monitoring and Reporting,0.5909090909090908
India,2019,Science issues,Educational issues,0.3846153846153846
Italy,2019,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Italy,2019,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
Japan,2019,Operation of the CEP,Management Plans,0.6875
Korea (ROK),2019,Environmental Impact Assessment EIA Other EIA Matters,Comprehensive Environmental Evaluations,0.5909090909090908
Korea (ROK),2019,Historic Sites and Monuments,Management Plans,0.4375
Monaco,2019,Fauna and Flora_General,Specially Protected Species,0.625
Netherlands,2019,Climate Change,CEP Strategy Discussions,0.5625
Netherlands,2019,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
New Zealand,2019,Management Plans,Comprehensive Environmental Evaluations,0.5625
New Zealand,2019,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Norway,2019,Institutional and legal matters,Safety and Operations in Antarctica,0.47058823529411764
Norway,2019,Area Protection and Management Plans General,Specially Protected Species,0.5384615384615384
Peru,2019,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Peru,2019,Safety and Operations in Antarctica,Management Plans,0.5882352941176471
Poland,2019,Environmental Impact Assessment EIA Other EIA Matters,Management Plans,0.5454545454545454
Poland,2019,Environmental Impact Assessment EIA Other EIA Matters,Repair and remediation of environmental damage,0.5909090909090908
Portugal,2019,Educational issues,Climate Change,0.6923076923076923
Portugal,2019,Science issues,Environmental Protection General,0.6
Portugal,2019,Educational issues,Fauna and Flora_General,0.6923076923076923
Portugal,2019,Educational issues,Site Guidelines for Visitors,0.8846153846153846
Russian Federation,2019,Inspections,Operation of the Antarctic Treaty system General,0.5
SCAR,2019,CEP Strategy Discussions,Biological Prospecting,0.5714285714285714
SCAR,2019,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
SCAR,2019,Area Protection and Management Plans General,Specially Protected Species,0.5384615384615384
South Africa,2019,Educational issues,Climate Change,0.6923076923076923
Spain,2019,Operation of the Antarctic Treaty system General,Educational issues,0.5769230769230769
Spain,2019,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Spain,2019,Area Protection and Management Plans General,Historic Sites and Monuments,0.5384615384615384
Sweden,2019,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Türkiye,2019,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Ukraine,2019,Operation of the Antarctic Treaty system The Secretariat,Inspections,0.631578947368421
Ukraine,2019,Science issues,Operation of the Antarctic Treaty system General,0.5769230769230769
United Kingdom,2019,Area Protection and Management Plans General,Specially Protected Species,0.5384615384615384
Uruguay,2019,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
WMO,2019,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Argentina,2020,Biological Prospecting,CEP Strategy Discussions,0.5714285714285714
Belgium,2020,Educational issues,Operation of the Antarctic Treaty system General,0.5769230769230769
Brazil,2020,Operational issues,Nonnative Species and Quarantine,0.5789473684210527
Brazil,2020,Educational issues,Science issues,0.3846153846153846
COMNAP,2020,Fauna and Flora_General,Climate Change,0.5625
Ecuador,2020,Science issues,Educational issues,0.3846153846153846
Germany,2020,Fauna and Flora_General,Nonnative Species and Quarantine,0.4375
Netherlands,2020,Inspections,Management Plans,0.5789473684210527
Norway,2020,Management Plans,Comprehensive Environmental Evaluations,0.5625
Norway,2020,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Norway,2020,Operation of the Antarctic Treaty system General,Inspections,0.5
Russian Federation,2020,Science issues,Educational issues,0.3846153846153846
Russian Federation,2020,Historic Sites and Monuments,Management Plans,0.4375
Spain,2020,Area Protection and Management Plans General,Management Plans,0.4375
United Kingdom,2020,Climate Change,CEP Strategy Discussions,0.5625
United States,2020,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
ASOC,2021,Operation of the Antarctic Treaty system Reports,Educational issues,0.6153846153846154
ASOC,2021,Comprehensive Environmental Evaluations,Environmental Protection General,0.64
ASOC,2021,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
Australia,2021,Environmental Impact Assessment EIA Other EIA Matters,Comprehensive Environmental Evaluations,0.5909090909090908
Australia,2021,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Australia,2021,Area Protection and Management Plans General,Historic Sites and Monuments,0.5384615384615384
Australia,2021,Exchange of Information,Inspections,0.5
Australia,2021,Repair and remediation of environmental damage,Management Plans,0.375
Belarus,2021,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Belarus,2021,Safety and Operations in Antarctica,Institutional and legal matters,0.47058823529411764
Belgium,2021,Area Protection and Management Plans General,Fauna and Flora_General,0.5625
Belgium,2021,Marine Protected Areas,Tourism and NG_Activities,0.5454545454545454
Brazil,2021,Repair and remediation of environmental damage,Management Plans,0.375
Bulgaria,2021,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
COMNAP,2021,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
Canada,2021,Science issues,Area Protection and Management Plans General,0.9583333333333334
Canada,2021,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Canada,2021,Science issues,Operation of the Antarctic Treaty system General,0.5769230769230769
Chile,2021,Inspections,Nonnative Species and Quarantine,0.5789473684210527
Chile,2021,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
China,2021,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Colombia,2021,Science issues,Environmental Impact Assessment EIA Other EIA Matters,0.5
Colombia,2021,Educational issues,Operation of the Antarctic Treaty system General,0.5769230769230769
Finland,2021,Safety and Operations in Antarctica,Institutional and legal matters,0.47058823529411764
France,2021,Biological Prospecting,Climate Change,0.625
France,2021,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
Germany,2021,Fauna and Flora_General,Climate Change,0.5625
Germany,2021,Safety and Operations in Antarctica,Institutional and legal matters,0.47058823529411764
Germany,2021,Specially Protected Species,Marine Acoustics,0.7
IAATO,2021,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
India,2021,Area Protection and Management Plans General,Management Plans,0.4375
Italy,2021,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Italy,2021,Environmental Protection General,Exchange of Information,0.48
Italy,2021,Climate Change,Fauna and Flora_General,0.5625
Italy,2021,Comprehensive Environmental Evaluations,Marine Protected Areas,0.6666666666666667
Japan,2021,Science issues,Environmental Impact Assessment EIA Other EIA Matters,0.5
Korea (ROK),2021,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
Netherlands,2021,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
New Zealand,2021,CEP Strategy Discussions,Climate Change,0.5625
Norway,2021,Biological Prospecting,Climate Change,0.625
Poland,2021,Nonnative Species and Quarantine,Tourism and NG_Activities,0.6666666666666667
Russian Federation,2021,Operation of the Antarctic Treaty system General,Inspections,0.5
Russian Federation,2021,Management Plans,Nonnative Species and Quarantine,0.5625
SCAR,2021,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
South Africa,2021,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
South Africa,2021,Climate Change,Fauna and Flora_General,0.5625
Spain,2021,Management Plans,Comprehensive Environmental Evaluations,0.5625
Spain,2021,Operation of the Antarctic Treaty system General,Inspections,0.5
Türkiye,2021,Institutional and legal matters,Comprehensive Environmental Evaluations,0.6
Türkiye,2021,Science issues,Educational issues,0.3846153846153846
Türkiye,2021,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Ukraine,2021,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
United Kingdom,2021,Environmental Monitoring and Reporting,Educational issues,0.6153846153846154
United Kingdom,2021,Management Plans,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
United Kingdom,2021,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
United States,2021,Operation of the Antarctic Treaty system General,Exchange of Information,0.5384615384615384
United States,2021,Operation of the Antarctic Treaty system General,Inspections,0.5
United States,2021,Area Protection and Management Plans General,Marine Protected Areas,0.6153846153846154
Uruguay,2021,Science issues,Safety and Operations in Antarctica,0.6666666666666667
Argentina,2022,Inspections,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Australia,2022,CEP Strategy Discussions,Climate Change,0.5625
Belarus,2022,Environmental Protection General,CEP Strategy Discussions,0.64
Belgium,2022,Climate Change,CEP Strategy Discussions,0.5625
Belgium,2022,Area Protection and Management Plans General,Management Plans,0.4375
Brazil,2022,Nonnative Species and Quarantine,Cooperation with Other Organisations,0.6666666666666667
CCAMLR,2022,Operation of the Antarctic Treaty system Reports,Science issues,0.6666666666666667
COMNAP,2022,Exchange of Information,Environmental Protection General,0.48
Chile,2022,Nonnative Species and Quarantine,Area Protection and Management Plans General,0.4666666666666667
Chile,2022,Nonnative Species and Quarantine,Management Plans,0.5625
China,2022,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
China,2022,Area Protection and Management Plans General,Specially Protected Species,0.5384615384615384
Colombia,2022,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
Ecuador,2022,Management Plans,Area Protection and Management Plans General,0.4375
Ecuador,2022,Educational issues,Cooperation with Other Organisations,0.7692307692307692
Ecuador,2022,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Ecuador,2022,Educational issues,Operation of the Antarctic Treaty system General,0.5769230769230769
Germany,2022,Nonnative Species and Quarantine,Area Protection and Management Plans General,0.4666666666666667
India,2022,Management Plans,Operation of the CEP,0.6875
India,2022,Environmental Protection General,Tourism and NG_Activities,0.72
Italy,2022,Exchange of Information,Educational issues,0.5
Italy,2022,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
Japan,2022,Management Plans,Area Protection and Management Plans General,0.4375
Korea (ROK),2022,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
Korea (ROK),2022,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Monaco,2022,Specially Protected Species,Area Protection and Management Plans General,0.5384615384615384
Netherlands,2022,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Norway,2022,Climate Change,CEP Strategy Discussions,0.5625
Norway,2022,Tourism and NG_Activities,Site Guidelines for Visitors,0.5
Peru,2022,Educational issues,Cooperation with Other Organisations,0.7692307692307692
Peru,2022,Educational issues,Operation of the Antarctic Treaty system General,0.5769230769230769
Poland,2022,Management Plans,Safety and Operations in Antarctica,0.5882352941176471
Portugal,2022,Climate Change,CEP Strategy Discussions,0.5625
South Africa,2022,Fauna and Flora_General,Area Protection and Management Plans General,0.5625
South Africa,2022,Tourism and NG_Activities,Historic Sites and Monuments,0.6923076923076923
Spain,2022,Comprehensive Environmental Evaluations,Environmental Monitoring and Reporting,0.6
Spain,2022,Educational issues,Exchange of Information,0.5
Spain,2022,Management Plans,Safety and Operations in Antarctica,0.5882352941176471
Sweden,2022,Climate Change,CEP Strategy Discussions,0.5625
Sweden,2022,Environmental Protection General,Environmental Monitoring and Reporting,0.64
Türkiye,2022,Science issues,Environmental Impact Assessment EIA Other EIA Matters,0.5
Ukraine,2022,Science issues,Operation of the Antarctic Treaty system Reports,0.6666666666666667
United Kingdom,2022,CEP Strategy Discussions,Operation of the CEP,0.5833333333333333
United States,2022,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
Uruguay,2022,Environmental Protection General,Climate Change,0.72
Uruguay,2022,Nonnative Species and Quarantine,Cooperation with Other Organisations,0.6666666666666667
Venezuela,2022,Educational issues,Cooperation with Other Organisations,0.7692307692307692
Venezuela,2022,Educational issues,Operation of the Antarctic Treaty system General,0.5769230769230769
WMO,2022,Climate Change,CEP Strategy Discussions,0.5625
ASOC,2023,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
Argentina,2023,Nonnative Species and Quarantine,Area Protection and Management Plans General,0.4666666666666667
Argentina,2023,Environmental Impact Assessment EIA Other EIA Matters,Comprehensive Environmental Evaluations,0.5909090909090908
Australia,2023,Environmental Protection General,Liability,0.52
Australia,2023,Environmental Monitoring and Reporting,Science issues,0.5416666666666667
Brazil,2023,Management Plans,Nonnative Species and Quarantine,0.5625
Brazil,2023,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
COMNAP,2023,Environmental Protection General,Climate Change,0.72
COMNAP,2023,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
Canada,2023,Environmental Monitoring and Reporting,Science issues,0.5416666666666667
China,2023,Fauna and Flora_General,Climate Change,0.5625
Czechia,2023,Area Protection and Management Plans General,Climate Change,0.6875
Czechia,2023,Science issues,Educational issues,0.3846153846153846
Ecuador,2023,Area Protection and Management Plans General,Fauna and Flora_General,0.5625
Finland,2023,Operation of the Antarctic Treaty system General,Liability,0.5769230769230769
France,2023,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
France,2023,Environmental Protection General,Liability,0.52
Germany,2023,Marine Protected Areas,Liability,0.6470588235294117
IHO,2023,Operation of the Antarctic Treaty system Reports,Climate Change,0.7
India,2023,Educational issues,Climate Change,0.6923076923076923
India,2023,Safety and Operations in Antarctica,Institutional and legal matters,0.47058823529411764
India,2023,Educational issues,Operation of the Antarctic Treaty system General,0.5769230769230769
Italy,2023,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Japan,2023,Area Protection and Management Plans General,Climate Change,0.6875
Japan,2023,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Korea (ROK),2023,Management Plans,Repair and remediation of environmental damage,0.375
Malaysia,2023,Science issues,Educational issues,0.3846153846153846
Netherlands,2023,Environmental Protection General,Liability,0.52
Netherlands,2023,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
New Zealand,2023,Management Plans,Historic Sites and Monuments,0.4375
New Zealand,2023,Environmental Protection General,Liability,0.52
New Zealand,2023,Area Protection and Management Plans General,Nonnative Species and Quarantine,0.4666666666666667
New Zealand,2023,Management Plans,Repair and remediation of environmental damage,0.375
New Zealand,2023,Marine Protected Areas,Site Guidelines for Visitors,0.6363636363636364
Norway,2023,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Norway,2023,Operation of the Antarctic Treaty system General,Liability,0.5769230769230769
Norway,2023,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
Peru,2023,Management Plans,Area Protection and Management Plans General,0.4375
Poland,2023,Management Plans,Area Protection and Management Plans General,0.4375
Poland,2023,Operation of the Antarctic Treaty system General,Educational issues,0.5769230769230769
Russian Federation,2023,Nonnative Species and Quarantine,Management Plans,0.5625
SCAR,2023,Environmental Impact Assessment EIA Other EIA Matters,Environmental Monitoring and Reporting,0.5909090909090908
South Africa,2023,Environmental Monitoring and Reporting,Educational issues,0.6153846153846154
Spain,2023,Inspections,Liability,0.5789473684210527
Spain,2023,Inspections,Operation of the Antarctic Treaty system General,0.5
Sweden,2023,Environmental Protection General,Liability,0.52
Türkiye,2023,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Ukraine,2023,Inspections,Area Protection and Management Plans General,0.5789473684210527
United States,2023,Management Plans,Repair and remediation of environmental damage,0.375
United States,2023,Area Protection and Management Plans General,Specially Protected Species,0.5384615384615384
Uruguay,2023,Environmental Protection General,Liability,0.52
WMO,2023,Environmental Protection General,Educational issues,0.6153846153846154
WMO,2023,Environmental Protection General,Science issues,0.6
ASOC,2024,Specially Protected Species,Area Protection and Management Plans General,0.5384615384615384
Argentina,2024,Inspections,Exchange of Information,0.5
Argentina,2024,Area Protection and Management Plans General,Repair and remediation of environmental damage,0.5384615384615384
Australia,2024,Area Protection and Management Plans General,Fauna and Flora_General,0.5625
Australia,2024,Repair and remediation of environmental damage,Multiyear strategic workplan,0.5833333333333333
Belgium,2024,Management Plans,Safety and Operations in Antarctica,0.5882352941176471
Brazil,2024,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Bulgaria,2024,Science issues,Environmental Protection General,0.6
Bulgaria,2024,Environmental Monitoring and Reporting,Historic Sites and Monuments,0.7
CCAMLR,2024,Operation of the Antarctic Treaty system Reports,Safety and Operations in Antarctica,0.8
Canada,2024,Science issues,Operation of the Antarctic Treaty system Reports,0.6666666666666667
Chile,2024,Management Plans,Historic Sites and Monuments,0.4375
China,2024,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Finland,2024,Operation of the Antarctic Treaty system General,Educational issues,0.5769230769230769
Finland,2024,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Finland,2024,Specially Protected Species,Tourism and NG_Activities,0.6
France,2024,Operation of the Antarctic Treaty system General,Inspections,0.5
Germany,2024,Nonnative Species and Quarantine,Site Guidelines for Visitors,0.7333333333333334
IAATO,2024,Operation of the Antarctic Treaty system Reports,Educational issues,0.6153846153846154
IAATO,2024,Fauna and Flora_General,Nonnative Species and Quarantine,0.4375
IUCN,2024,Area Protection and Management Plans General,Environmental Monitoring and Reporting,0.75
IUCN,2024,Area Protection and Management Plans General,Tourism and NG_Activities,0.7692307692307692
India,2024,Climate Change,Biological Prospecting,0.625
India,2024,Climate Change,Cooperation with Other Organisations,0.75
India,2024,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
India,2024,Educational issues,Science issues,0.3846153846153846
Italy,2024,Management Plans,Area Protection and Management Plans General,0.4375
Korea (ROK),2024,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Netherlands,2024,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
New Zealand,2024,Repair and remediation of environmental damage,Multiyear strategic workplan,0.5833333333333333
Norway,2024,Environmental Protection General,Exchange of Information,0.48
Norway,2024,Operation of the CEP,Multiyear strategic workplan,0.625
Peru,2024,Science issues,Environmental Impact Assessment EIA Other EIA Matters,0.5
Peru,2024,Area Protection and Management Plans General,Nonnative Species and Quarantine,0.4666666666666667
Poland,2024,Educational issues,Environmental Protection General,0.6153846153846154
Russian Federation,2024,Management Plans,Historic Sites and Monuments,0.4375
Russian Federation,2024,Nonnative Species and Quarantine,Tourism and NG_Activities,0.6666666666666667
SCAR,2024,Climate Change,CEP Strategy Discussions,0.5625
SCAR,2024,Environmental Monitoring and Reporting,Science issues,0.5416666666666667
Spain,2024,Exchange of Information,Environmental Protection General,0.48
Spain,2024,Management Plans,Safety and Operations in Antarctica,0.5882352941176471
Türkiye,2024,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
United Kingdom,2024,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
United Kingdom,2024,Environmental Impact Assessment EIA Other EIA Matters,Inspections,0.5454545454545454
United Kingdom,2024,Repair and remediation of environmental damage,Multiyear strategic workplan,0.5833333333333333
United States,2024,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
Uruguay,2024,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Uruguay,2024,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
Venezuela,2024,Operation of the Antarctic Treaty system General,Educational issues,0.5769230769230769
ASOC,2025,Environmental Protection General,Safety and Operations in Antarctica,0.6799999999999999
Australia,2025,Science issues,Environmental Impact Assessment EIA Other EIA Matters,0.5
Australia,2025,Inspections,Operation of the Antarctic Treaty system General,0.5
Australia,2025,Inspections,Operation of the Antarctic Treaty system The Secretariat,0.631578947368421
Australia,2025,Multiyear strategic workplan,Operation of the CEP,0.625
Australia,2025,Management Plans,Repair and remediation of environmental damage,0.375
Belgium,2025,Management Plans,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Belgium,2025,Management Plans,Operation of the Antarctic Treaty system The Secretariat,0.6470588235294117
Brazil,2025,Management Plans,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Brazil,2025,Management Plans,Nonnative Species and Quarantine,0.5625
Brazil,2025,Educational issues,Science issues,0.3846153846153846
CCAMLR,2025,Operation of the Antarctic Treaty system Reports,Fauna and Flora_General,0.6
COMNAP,2025,Environmental Protection General,Educational issues,0.6153846153846154
COMNAP,2025,Environmental Protection General,Exchange of Information,0.48
COMNAP,2025,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
COMNAP,2025,Environmental Protection General,Operational issues,0.56
Chile,2025,Educational issues,Science issues,0.3846153846153846
Chile,2025,Nonnative Species and Quarantine,Tourism and NG_Activities,0.6666666666666667
China,2025,Management Plans,Comprehensive Environmental Evaluations,0.5625
China,2025,Fauna and Flora_General,Nonnative Species and Quarantine,0.4375
China,2025,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
Ecuador,2025,Fauna and Flora_General,Biological Prospecting,0.6875
Ecuador,2025,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
France,2025,Environmental Monitoring and Reporting,Science issues,0.5416666666666667
Germany,2025,Fauna and Flora_General,Climate Change,0.5625
Germany,2025,Fauna and Flora_General,Operation of the Antarctic Treaty system The Secretariat,0.7058823529411764
Germany,2025,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
India,2025,Biological Prospecting,Climate Change,0.625
Korea (ROK),2025,Science issues,Educational issues,0.3846153846153846
Korea (ROK),2025,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
Korea (ROK),2025,Environmental Monitoring and Reporting,Operation of the Antarctic Treaty system General,0.5769230769230769
Monaco,2025,Area Protection and Management Plans General,Environmental Monitoring and Reporting,0.75
Netherlands,2025,Tourism and NG_Activities,Site Guidelines for Visitors,0.5
New Zealand,2025,Climate Change,CEP Strategy Discussions,0.5625
New Zealand,2025,Management Plans,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
New Zealand,2025,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
New Zealand,2025,Multiyear strategic workplan,Operation of the CEP,0.625
New Zealand,2025,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
Norway,2025,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Norway,2025,Area Protection and Management Plans General,Repair and remediation of environmental damage,0.5384615384615384
Peru,2025,Management Plans,Biological Prospecting,0.6875
Peru,2025,Operation of the Antarctic Treaty system General,Exchange of Information,0.5384615384615384
Portugal,2025,CEP Strategy Discussions,Specially Protected Species,0.6666666666666667
Russian Federation,2025,Inspections,Multiyear strategic workplan,0.6842105263157895
SCAR,2025,Fauna and Flora_General,Nonnative Species and Quarantine,0.4375
SCAR,2025,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
South Africa,2025,Fauna and Flora_General,Cooperation with Other Organisations,0.625
South Africa,2025,Environmental Monitoring and Reporting,Liability,0.65
South Africa,2025,Educational issues,Operation of the Antarctic Treaty system General,0.5769230769230769
Sweden,2025,Environmental Monitoring and Reporting,Science issues,0.5416666666666667
Ukraine,2025,Area Protection and Management Plans General,Historic Sites and Monuments,0.5384615384615384
United Kingdom,2025,Repair and remediation of environmental damage,Site Guidelines for Visitors,0.6666666666666667
United States,2025,Management Plans,Safety and Operations in Antarctica,0.5882352941176471
Uruguay,2025,Nonnative Species and Quarantine,Area Protection and Management Plans General,0.4666666666666667
